id,description,neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,description_clean,desc_word_count,log_price,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price_norm,geo_cluster
958,Our bright garden unit overlooks a lovely backyard area with fruit trees and native plants. It is an oasis in a big city. The apartment comfortably fits a couple or small family. It is located on a cul de sac street that ends at lovely Duboce Park.,Western Addition,37.77028,-122.43317,Entire home/apt,3,496,4.89,t,5,224,55,our bright garden unit overlooks a lovely backyard area with fruit trees and native plants it is an oasis in a big city the apartment comfortably fits a couple or small family it is located on a cul de sac street that ends at lovely duboce park,47,5.056245805348308,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.36454358126632597,6
5858,"We live in a large Victorian house on a quiet street, nestled between the Mission district and Noe Valley. We're one block from the streetcar stop and five blocks from the subway. We have two bedrooms which have double beds and windows which cast their light upon the warm colored walls and ceilings of this haven. We have lots of spaces in the house where you can relax, read, listen to music and just cozy up. The kitchen is well stocked and we have a bountiful garden and back deck.",Bernal Heights,37.74474,-122.42089,Entire home/apt,4,105,4.87,f,22,357,17,we live in a large victorian house on a quiet street nestled between the mission district and noe valley were one block from the streetcar stop and five blocks from the subway we have two bedrooms which have double beds and windows which cast their light upon the warm colored walls and ceilings of this haven we have lots of spaces in the house where you can relax read listen to music and just cozy up the kitchen is well stocked and we have a bountiful garden and back deck,90,5.521460917862246,0.5,0.5,0.5,0.46495578153810446,13
8014,"Room is on the second floor so it gets a good amount of light and view!  Please tell us a bit about yourself and what brings you to the area.<br /><br />-full sized mattress (on top of platform frame)<br />-Towels<br />-Toiletries<br />-high speed Comcast wifi<br />-TV<br />-Supermarket and laundry(about $4.50) nearby<br />-bus right in front, walk to bart(10-15min) which takes you downtown in 15 minutes<br />-no closet as the roommate who is traveling is using it<br />-easy street parking",Outer Mission,37.73077,-122.44827,Private room,1,90,4.77,t,0,42,31,room is on the second floor so it gets a good amount of light and view  please tell us a bit about yourself and what brings you to the area  full sized mattress on top of platform frame towels toiletries high speed comcast wifi tv supermarket and laundryabout 450 nearby bus right in front walk to bart1015min which takes you downtown in 15 minutes no closet as the roommate who is traveling is using it easy street parking,78,4.204692619390966,1.0,2.0,1.0,0.18074402972476283,5
8339,"For creative humans who love art, space, photography, design, history..<br /><br />Beautiful natural light. Curated design and furniture. Photo location. <br /><br />Private upper-unit full-floor flat/apt in a two-unit building.<br /><br />Fashion and lifestyle brands + content creators  who chose our space for their ad campaigns and creative projects:<br /><br />Airbnb<br />Google<br />Everlane<br />Blue Bottle<br />Feather<br />Fellow<br />Freda Salvador<br />ThirdLove<br />Rothys<br />Rejuvenation<br />Banana Republic<br />Nest<br />Scandinavian Designs<br />Domino Magazine<br />Year & Day<br />Minted <br />+",Western Addition,37.77377,-122.43614,Entire home/apt,2,25,4.86,f,1,327,38,for creative humans who love art space photography design history  beautiful natural light curated design and furniture photo location   private upperunit fullfloor flatapt in a twounit building  fashion and lifestyle brands  content creators  who chose our space for their ad campaigns and creative projects  airbnb google everlane blue bottle feather fellow freda salvador thirdlove rothys rejuvenation banana republic nest scandinavian designs domino magazine year  day minted,66,6.267200548541362,0.5,0.75,0.5,0.6259164965538061,6
10537,"Casa de Paz (House of Peace) is like staying with family!  If you want to experience San Francisco <br />like a local...instead of feeling like a tourist, this is the place for you.  <br />Here you will wake up in your own peaceful room, with a view of San Fra",Bayview,37.7175,-122.39698,Private room,2,40,4.97,t,30,363,63,casa de paz house of peace is like staying with family  if you want to experience san francisco  like a localinstead of feeling like a tourist this is the place for you   here you will wake up in your own peaceful room with a view of san fra,48,4.68213122712422,0.5,0.75,0.5,0.28379455368157924,14
10578,"A cute studio with nice street views and lots of light and easy access to a shared roof deck with awesome Golden Gate views. <br /><br />Great, classic ""Old Frisco"" neighborhood.<br /><br />New double-pane windows help keep out the sounds of the city.",Nob Hill,37.79249,-122.41499,Entire home/apt,2,18,4.93,f,0,275,17,a cute studio with nice street views and lots of light and easy access to a shared roof deck with awesome golden gate views   great classic old frisco neighborhood  new doublepane windows help keep out the sounds of the city,40,4.605170185988092,0.0,0.5,0.5,0.26718325437548895,4
11490,"Rare gem of an apartment in beautiful Nob Hill. <br /><br />- Fully furnished, turn key - ready for you to come on in<br />- you have 1 bedroom with queen bed + desk <br />- 2nd bedroom is not used often by owners as we live in Florida part time - may be back here and there.",Nob Hill,37.7914,-122.41149,Private room,2,43,4.78,t,0,74,52,rare gem of an apartment in beautiful nob hill    fully furnished turn key  ready for you to come on in  you have 1 bedroom with queen bed  desk   2nd bedroom is not used often by owners as we live in florida part time  may be back here and there,49,4.31748811353631,0.5,0.5,0.5,0.2050898504928644,4
12522,"1895 Victorian flat w/ 12 ft ceilings. (No Long Term Rentals and street parking is available at your own risk) Close to The Mission, & 2.5 blocks from Castro theater. MUNI public transportation is 3 blocks away. Room is a garden view, quiet space and great value for one of the most expensive neighborhoods in the US!",Castro/Upper Market,37.76237,-122.42992,Private room,2,518,4.93,f,6,28,18,1895 victorian flat w 12 ft ceilings no long term rentals and street parking is available at your own risk close to the mission  25 blocks from castro theater muni public transportation is 3 blocks away room is a garden view quiet space and great value for one of the most expensive neighborhoods in the us,56,4.59511985013459,0.5,0.75,0.5,0.2650139862038961,9
18231,"Located on 26th St. in wonderful Noe Valley, this beautifully large furnished open apartment (540 square feet) with separate street level entrance in a two unit building. We live in the upstairs unit. Four windows open onto the quiet rear of the house and a private entrance to a private beautifully landscaped garden.",Noe Valley,37.74858,-122.42865,Entire home/apt,3,72,4.85,f,0,230,31,located on 26th st in wonderful noe valley this beautifully large furnished open apartment 540 square feet with separate street level entrance in a two unit building we live in the upstairs unit four windows open onto the quiet rear of the house and a private entrance to a private beautifully landscaped garden,53,4.59511985013459,0.0,0.3333333333333333,0.6666666666666666,0.2650139862038961,13
18904,"Welcome to the Lower Haight! My neighborhood and the surrounding areas are filled with cafes, restaurants, bars, shops, and salons. Spend the day walking around and sampling local flavor, or grab a blanket and spend an afternoon in one of the nearby parks... Alamo Square Park, Duboce Park, Dolores Park, or Golden Gate Park.",Western Addition,37.77247,-122.43301,Private room,2,514,4.89,t,6,34,35,welcome to the lower haight my neighborhood and the surrounding areas are filled with cafes restaurants bars shops and salons spend the day walking around and sampling local flavor or grab a blanket and spend an afternoon in one of the nearby parks alamo square park duboce park dolores park or golden gate park,54,4.762173934797756,0.5,0.5,0.5,0.30107100102177553,6
21334,This charming apartment was the library in a Pre-1906 earthquake sea captain's home that has since been converted into a studio loft. Michael Douglas lived here while filming “Streets of San Francisco” in the seventies.  Book a true SF Experience!,Nob Hill,37.7962,-122.41562,Entire home/apt,2,125,4.88,f,28,363,34,this charming apartment was the library in a pre1906 earthquake sea captains home that has since been converted into a studio loft michael douglas lived here while filming streets of san francisco in the seventies  book a true sf experience,40,5.521460917862246,0.5,0.5,0.5,0.46495578153810446,18
